	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak
2005	جَرِحَ	ل	4	جرح	جرح	جرح	جرح	3	سالم	صحيح
2006	جَرَّحَ	م	112	جرح	جرّح	جرح	جرح	4	مضعف	صحيح
2007	اِجْتَرَحَ	م/ل	114	اجترح	اجترح	اجترح	جترح	5	سالم	صحيح
2008	اِسْتَجْرَحَ	ل	129	استجرح	استجرح	استجرح	ستجرح	6	سالم	صحيح
2009	جَرَدَ	م	1	جرد	جرد	جرد	جرد	3	سالم	صحيح
2010	جَرِدَ	ل	4	جرد	جرد	جرد	جرد	3	سالم	صحيح
2011	جَرَّدَ	م	112	جرد	جرّد	جرد	جرد	4	مضعف	صحيح
2012	تَجَرَّدَ	ل	126	تجرد	تجرّد	تجرد	تجرد	5	مضعف	صحيح
2013	اِنْجَرَدَ	ل	119	انجرد	انجرد	انجرد	نجرد	5	سالم	صحيح
2014	جَرَذَ	ل	1	جرذ	جرذ	جرذ	جرذ	3	سالم	صحيح
2015	جَرِذَ	ل	4	جرذ	جرذ	جرذ	جرذ	3	سالم	صحيح
2016	جَرَّذَ	م	112	جرذ	جرّذ	جرذ	جرذ	4	مضعف	صحيح
2017	أَجْرَذَ	م	102	أجرذ	أجرذ	ءجرذ	جرذ	4	مهموز	صحيح
2018	جَرَّ	ل/م	8	جر	جرّ	جر	جر	3	مضعف	صحيح
2019	جَرَّرَ	م	112	جرر	جرّر	جرر	جر	4	مضعف	صحيح
2020	جارَّ	م	110	جار	جارّ	جار	جر	4	مضعف	صحيح
2021	أَجَرَّ	ل/م	103	أجر	أجرّ	ءجر	جر	4	مضعف مهموز	صحيح
2022	اِنْجَرَّ	ل	120	انجر	انجرّ	انجر	نجر	5	مضعف	صحيح
2023	اِجْتَرَّ	ل/م	115	اجتر	اجترّ	اجتر	جتر	5	مضعف	صحيح
2024	اِسْتَجَرَّ	ل/م	130	استجر	استجرّ	استجر	ستجر	6	مضعف	صحيح
2025	جَرَزَ	ل/م	1	جرز	جرز	جرز	جرز	3	سالم	صحيح
2026	جَرُزَ	ل	7	جرز	جرز	جرز	جرز	3	سالم	صحيح
2027	جَرِزَ	ل	4	جرز	جرز	جرز	جرز	3	سالم	صحيح
2028	جارَزَ	م	109	جارز	جارز	جارز	جرز	4	سالم	صحيح
2029	أَجْرَزَ	ل	102	أجرز	أجرز	ءجرز	جرز	4	مهموز	صحيح
2030	تَجارَزَ	ل	123	تجارز	تجارز	تجارز	تجرز	5	سالم	صحيح
2031	جَرَسَ	ل/م	2	جرس	جرس	جرس	جرس	3	سالم	صحيح
2032	جَرَّسَ	ل/م	112	جرس	جرّس	جرس	جرس	4	مضعف	صحيح
2033	أَجْرَسَ	ل/م	102	أجرس	أجرس	ءجرس	جرس	4	مهموز	صحيح
2034	تَجَرَّسَ	ل	126	تجرس	تجرّس	تجرس	تجرس	5	مضعف	صحيح
2035	جَرَشَ	م	2	جرش	جرش	جرش	جرش	3	سالم	صحيح
2036	جَرَّشَ	م	112	جرش	جرّش	جرش	جرش	4	مضعف	صحيح
2037	اِجْتَرَشَ	ل/م	114	اجترش	اجترش	اجترش	جترش	5	سالم	صحيح
2038	جَرَضَ	م	1	جرض	جرض	جرض	جرض	3	سالم	صحيح
2039	جَرِضَ	ل	4	جرض	جرض	جرض	جرض	3	سالم	صحيح
2040	أَجْرَضَ	م	102	أجرض	أجرض	ءجرض	جرض	4	مهموز	صحيح
2041	جَرَعَ	م	3	جرع	جرع	جرع	جرع	3	سالم	صحيح
2042	جَرِعَ	ل	4	جرع	جرع	جرع	جرع	3	سالم	صحيح
2043	جَرَّعَ	م	112	جرع	جرّع	جرع	جرع	4	مضعف	صحيح
2044	أَجْرَعَ	م	102	أجرع	أجرع	ءجرع	جرع	4	مهموز	صحيح
2045	اِجْتَرَعَ	م	114	اجترع	اجترع	اجترع	جترع	5	سالم	صحيح
2046	جَرَفَ	ل/م	1	جرف	جرف	جرف	جرف	3	سالم	صحيح
2047	جَرَّفَ	ل/م	112	جرف	جرّف	جرف	جرف	4	مضعف	صحيح
2048	أَجْرَفَ	ل	102	أجرف	أجرف	ءجرف	جرف	4	مهموز	صحيح
2049	تَجَرَّفَ	م	126	تجرف	تجرّف	تجرف	تجرف	5	مضعف	صحيح
2050	اِنْجَرَفَ	ل	119	انجرف	انجرف	انجرف	نجرف	5	سالم	صحيح
2051	اِجْتَرَفَ	م	114	اجترف	اجترف	اجترف	جترف	5	سالم	صحيح
2052	جَرَمَ	ل/م	2	جرم	جرم	جرم	جرم	3	سالم	صحيح
2053	جَرُمَ	ل	7	جرم	جرم	جرم	جرم	3	سالم	صحيح
2054	جَرِمَ	ل	4	جرم	جرم	جرم	جرم	3	سالم	صحيح
2055	جَرَّمَ	م	112	جرم	جرّم	جرم	جرم	4	مضعف	صحيح
2056	أَجْرَمَ	ل/م	102	أجرم	أجرم	ءجرم	جرم	4	مهموز	صحيح
2057	تَجَرَّمَ	ل	126	تجرم	تجرّم	تجرم	تجرم	5	مضعف	صحيح
2058	اِجْتَرَمَ	ل/م	114	اجترم	اجترم	اجترم	جترم	5	سالم	صحيح
2059	جَرَنَ	ل/م	1	جرن	جرن	جرن	جرن	3	سالم	صحيح
2060	جَرَّنَ	م	112	جرن	جرّن	جرن	جرن	4	مضعف	صحيح
2061	أَجْرَنَ	م	102	أجرن	أجرن	ءجرن	جرن	4	مهموز	صحيح
2062	اِجْتَرَنَ	ل	114	اجترن	اجترن	اجترن	جترن	5	سالم	صحيح
2063	جَرَى	ل	21	جرى	جرى	جرى	جر	3		ناقص يائي
2064	جَرَّى	م	113	جرى	جرّى	جرى	جر	4	مضعف	ناقص
2065	جارَى	م	111	جارى	جارى	جارى	جر	4		ناقص
2066	أَجْرَى	م/ل	114	أجرى	أجرى	ءجرى	جر	4	مهموز	ناقص
2067	تَجارَى	ل	125	تجارى	تجارى	تجارى	تجر	5		ناقص
2068	اِسْتَجْرَى	م	131	استجرى	استجرى	استجرى	ستجر	6		ناقص
2069	جَزَأ	ل/م	14	جزأ	جزأ	جزء	جز	3	مهموز	صحيح
2070	جَزَّأَ	م	112	جزأ	جزّأ	جزء	جز	4	مضعف مهموز	صحيح
2071	أَجْزَأَ	ل	102	أجزأ	أجزأ	ءجزء	جز	4	مهموز	صحيح
2072	تَجَزَّأَ	ل/م	126	تجزأ	تجزّأ	تجزء	تجز	5	مضعف مهموز	صحيح
2073	اِجْتَزَأَ	ل	114	اجتزأ	اجتزأ	اجتزء	جتز	5	مهموز	صحيح
2074	جَزَحَ	ل/م	3	جزح	جزح	جزح	جزح	3	سالم	صحيح
2075	جَزَرَ	ل/م	1	جزر	جزر	جزر	جزر	3	سالم	صحيح
2076	أَجْزَرَ	ل/م	102	أجزر	أجزر	ءجزر	جزر	4	مهموز	صحيح
2077	اِجْتَزَرَ	م	114	اجتزر	اجتزر	اجتزر	جتزر	5	سالم	صحيح
2078	اِنْجَزَرَ	ل	119	انجزر	انجزر	انجزر	نجزر	5	سالم	صحيح
2079	جَزَّ	ل/م	8	جز	جزّ	جز	جز	3	مضعف	صحيح
2080	جَزَّ	ل	9	جز	جزّ	جز	جز	3	مضعف	صحيح
2081	أَجَزَّ	ل/م	103	أجز	أجزّ	ءجز	جز	4	مضعف مهموز	صحيح
2082	اِجْتَزَّ	م	115	اجتز	اجتزّ	اجتز	جتز	5	مضعف	صحيح
2083	اِسْتَجَزَّ	ل	130	استجز	استجزّ	استجز	ستجز	6	مضعف	صحيح
2084	جَزَعَ	م	3	جزع	جزع	جزع	جزع	3	سالم	صحيح
2085	جَزِعَ	ل	4	جزع	جزع	جزع	جزع	3	سالم	صحيح
2086	جَزَّعَ	ل/م	112	جزع	جزّع	جزع	جزع	4	مضعف	صحيح
2087	أَجْزَعَ	م	102	أجزع	أجزع	ءجزع	جزع	4	مهموز	صحيح
2088	تَجَزَّعَ	ل/م	126	تجزع	تجزّع	تجزع	تجزع	5	مضعف	صحيح
2089	اِنْجَزَعَ	ل	119	انجزع	انجزع	انجزع	نجزع	5	سالم	صحيح
2090	اِجْتَزَعَ	م	114	اجتزع	اجتزع	اجتزع	جتزع	5	سالم	صحيح
2091	جَزَفَ	ل	2	جزف	جزف	جزف	جزف	3	سالم	صحيح
2092	جازَفَ	ل	109	جازف	جازف	جازف	جزف	4	سالم	صحيح
2093	اِجْتَزَفَ	م	114	اجتزف	اجتزف	اجتزف	جتزف	5	سالم	صحيح
2094	جَزَلَ	م/ل	2	جزل	جزل	جزل	جزل	3	سالم	صحيح
2095	جَزُلَ	ل	7	جزل	جزل	جزل	جزل	3	سالم	صحيح
2096	جَزِلَ	ل	4	جزل	جزل	جزل	جزل	3	سالم	صحيح
2097	أَجْزَلَ	م/ل	102	أجزل	أجزل	ءجزل	جزل	4	مهموز	صحيح
2098	اِسْتَجْزَلَ	م	129	استجزل	استجزل	استجزل	ستجزل	6	سالم	صحيح
2099	جَزَمَ	ل/م	2	جزم	جزم	جزم	جزم	3	سالم	صحيح
2100	جَزَّمَ	ل	112	جزم	جزّم	جزم	جزم	4	مضعف	صحيح
2101	تَجَزَّمَ	ل	126	تجزم	تجزّم	تجزم	تجزم	5	مضعف	صحيح
2102	اِنْجَزَمَ	ل	119	انجزم	انجزم	انجزم	نجزم	5	سالم	صحيح
2103	اِجْتَزَمَ	م	114	اجتزم	اجتزم	اجتزم	جتزم	5	سالم	صحيح
2104	جَزَى	ل/م	21	جزى	جزى	جزى	جز	3		ناقص يائي
2105	جازَى	م	111	جازى	جازى	جازى	جز	4		ناقص
2106	أَجْزَى	ل	104	أجزى	أجزى	ءجزى	جز	4	مهموز	ناقص
2107	تَجازَى	م	125	تجازى	تجازى	تجازى	تجز	5		ناقص
2108	اِجْتَزَى	م	116	اجتزى	اجتزى	اجتزى	جتز	5		ناقص
2109	جَسَأَ	ل	14	جسأ	جسأ	جسء	جس	3	مهموز	صحيح
2110	جَسَدَ	م	1	جسد	جسد	جسد	جسد	3	سالم	صحيح
2111	جَسِدَ	ل	4	جسد	جسد	جسد	جسد	3	سالم	صحيح
2112	جَسَّدَ	م	112	جسد	جسّد	جسد	جسد	4	مضعف	صحيح
2113	أَجْسَدَ	م	102	أجسد	أجسد	ءجسد	جسد	4	مهموز	صحيح
2114	تَجَسَّدَ	ل	126	تجسد	تجسّد	تجسد	تجسد	5	مضعف	صحيح
2115	جَسَرَ	ل/م	1	جسر	جسر	جسر	جسر	3	سالم	صحيح
2116	جَسَّرَ	م	112	جسر	جسّر	جسر	جسر	4	مضعف	صحيح
2117	تَجاسَرَ	ل	123	تجاسر	تجاسر	تجاسر	تجسر	5	سالم	صحيح
2118	اِجْتَسَرَ	م	114	اجتسر	اجتسر	اجتسر	جتسر	5	سالم	صحيح
2119	جَسَّ	م	8	جس	جسّ	جس	جس	3	مضعف	صحيح
2120	تَجَسَّسَ	م/ل	126	تجسس	تجسّس	تجسس	تجس	5	مضعف	صحيح
2121	اِجْتَسَّ	م	115	اجتس	اجتسّ	اجتس	جتس	5	مضعف	صحيح
2122	جَسُمَ	ل	7	جسم	جسم	جسم	جسم	3	سالم	صحيح
2123	جَسَّمَ	م	112	جسم	جسّم	جسم	جسم	4	مضعف	صحيح
2124	تَجَسَّمَ	ل/م	126	تجسم	تجسّم	تجسم	تجسم	5	مضعف	صحيح
2125	جَسا	ل	17	جسا	جسا	جسا	جس	3		ناقص واوي
2126	جَسِيَ	ل	19	جسي	جسي	جسي	جس	3	سالم	صحيح
2127	جاسَى	م	111	جاسى	جاسى	جاسى	جس	4		ناقص
2128	جَشَأَ	ل	14	جشأ	جشأ	جشء	جش	3	مهموز	صحيح
2129	جَشَّأَ	ل	112	جشأ	جشّأ	جشء	جش	4	مضعف مهموز	صحيح
2130	تَجَشَّأَ	ل	126	تجشأ	تجشّأ	تجشء	تجش	5	مضعف مهموز	صحيح
2131	اِجْتَشَأَ	ل/م	114	اجتشأ	اجتشأ	اجتشء	جتش	5	مهموز	صحيح
2132	جَشَبَ	ل/م	1	جشب	جشب	جشب	جشب	3	سالم	صحيح
2133	جَشُبَ	ل	7	جشب	جشب	جشب	جشب	3	سالم	صحيح
2134	جَشِبَ	ل	4	جشب	جشب	جشب	جشب	3	سالم	صحيح
2135	جَشَرَ	ل/م	1	جشر	جشر	جشر	جشر	3	سالم	صحيح
2136	جَشِرَ	ل	4	جشر	جشر	جشر	جشر	3	سالم	صحيح
2137	جَشَّرَ	م	112	جشر	جشّر	جشر	جشر	4	مضعف	صحيح
2138	تَجَشَّرَ	ل	126	تجشر	تجشّر	تجشر	تجشر	5	مضعف	صحيح
2139	جَشَّ	ل/م	8	جش	جشّ	جش	جش	3	مضعف	صحيح
2140	جَشَّ	ل	10	جش	جشّ	جش	جش	3	مضعف	صحيح
2141	أَجَشَّ	ل/م	103	أجش	أجشّ	ءجش	جش	4	مضعف مهموز	صحيح
2142	اِجْتَشَّ	ل	115	اجتش	اجتشّ	اجتش	جتش	5	مضعف	صحيح
2143	جَشِعَ	ل	4	جشع	جشع	جشع	جشع	3	سالم	صحيح
2144	تَجَشَّعَ	ل	126	تجشع	تجشّع	تجشع	تجشع	5	مضعف	صحيح
2145	تَجاشَعَ	م	123	تجاشع	تجاشع	تجاشع	تجشع	5	سالم	صحيح
2146	جَشِمَ	ل/م	4	جشم	جشم	جشم	جشم	3	سالم	صحيح
2147	جَشَّمَ	م	112	جشم	جشّم	جشم	جشم	4	مضعف	صحيح
2148	أَجْشَمَ	م	102	أجشم	أجشم	ءجشم	جشم	4	مهموز	صحيح
2149	تَجَشَّمَ	م	126	تجشم	تجشّم	تجشم	تجشم	5	مضعف	صحيح
2150	جَشِنَ	ل	4	جشن	جشن	جشن	جشن	3	سالم	صحيح
2151	جَصَّ	ل	9	جص	جصّ	جص	جص	3	مضعف	صحيح
2152	جَصَّصَ	ل/م	112	جصص	جصّص	جصص	جص	4	مضعف	صحيح
2153	جَضَّ	ل	8	جض	جضّ	جض	جض	3	مضعف	صحيح
2154	جَضَّضَ	ل	112	جضض	جضّض	جضض	جض	4	مضعف	صحيح
2155	جَعَبَ	م	3	جعب	جعب	جعب	جعب	3	سالم	صحيح
2156	جَعَّبَ	م	112	جعب	جعّب	جعب	جعب	4	مضعف	صحيح
2157	تَجَعَّبَ	ل	126	تجعب	تجعّب	تجعب	تجعب	5	مضعف	صحيح
2158	اِنْجَعَبَ	ل	119	انجعب	انجعب	انجعب	نجعب	5	سالم	صحيح
2159	جَعُدَ	ل	7	جعد	جعد	جعد	جعد	3	سالم	صحيح
2160	جَعَّدَ	م	112	جعد	جعّد	جعد	جعد	4	مضعف	صحيح
2161	تَجَعَّدَ	ل	126	تجعد	تجعّد	تجعد	تجعد	5	مضعف	صحيح
2162	جَعَرَ	ل	3	جعر	جعر	جعر	جعر	3	سالم	صحيح
2163	تَجَعَّرَ	ل	126	تجعر	تجعّر	تجعر	تجعر	5	مضعف	صحيح
2164	جَعَسَ	ل	3	جعس	جعس	جعس	جعس	3	سالم	صحيح
2165	تَجَعَّسَ	ل	126	تجعس	تجعّس	تجعس	تجعس	5	مضعف	صحيح
2166	جَعَظَ	ل/م	3	جعظ	جعظ	جعظ	جعظ	3	سالم	صحيح
2167	جَعِظَ	ل	4	جعظ	جعظ	جعظ	جعظ	3	سالم	صحيح
2168	جَعَّظَ	ل	112	جعظ	جعّظ	جعظ	جعظ	4	مضعف	صحيح
2169	أَجْعَظَ	ل/م	102	أجعظ	أجعظ	ءجعظ	جعظ	4	مهموز	صحيح
2170	جَعَّ	ل/م	8	جع	جعّ	جع	جع	3	مضعف	صحيح
2171	جَعَفَ	م	3	جعف	جعف	جعف	جعف	3	سالم	صحيح
2172	أَجْعَفَ	م	102	أجعف	أجعف	ءجعف	جعف	4	مهموز	صحيح
2173	اِنْجَعَفَ	ل	119	انجعف	انجعف	انجعف	نجعف	5	سالم	صحيح
2174	اِجْتَعَفَ	م	114	اجتعف	اجتعف	اجتعف	جتعف	5	سالم	صحيح
2175	جَعَلَ	م	3	جعل	جعل	جعل	جعل	3	سالم	صحيح
2176	جَعِلَ	ل	4	جعل	جعل	جعل	جعل	3	سالم	صحيح
2177	جاعَلَ	م	109	جاعل	جاعل	جاعل	جعل	4	سالم	صحيح
2178	أَجْعَلَ	ل/م	102	أجعل	أجعل	ءجعل	جعل	4	مهموز	صحيح
2179	تَجاعَلَ	م	123	تجاعل	تجاعل	تجاعل	تجعل	5	سالم	صحيح
2180	اِجْتَعَلَ	م	114	اجتعل	اجتعل	اجتعل	جتعل	5	سالم	صحيح
2181	جَعَمَ	ل/م	3	جعم	جعم	جعم	جعم	3	سالم	صحيح
2182	جَعِمَ	ل	4	جعم	جعم	جعم	جعم	3	سالم	صحيح
2183	أَجْعَمَ	ل/م	102	أجعم	أجعم	ءجعم	جعم	4	مهموز	صحيح
2184	تَجَعَّمَ	ل	126	تجعم	تجعّم	تجعم	تجعم	5	مضعف	صحيح
2185	جَعا	م	17	جعا	جعا	جعا	جع	3		ناقص واوي
2186	جَفَأَ	ل/م	14	جفأ	جفأ	جفء	جف	3	مهموز	صحيح
2187	أَجْفَأَ	ل/م	102	أجفأ	أجفأ	ءجفء	جف	4	مهموز	صحيح
2188	تَجَفَّأَ	ل	126	تجفأ	تجفّأ	تجفء	تجف	5	مضعف مهموز	صحيح
2189	اِجْتَفَأَ	م	114	اجتفأ	اجتفأ	اجتفء	جتف	5	مهموز	صحيح
2190	جَفَخَ	ل	3	جفخ	جفخ	جفخ	جفخ	3	سالم	صحيح
2191	جافَخَ	م	109	جافخ	جافخ	جافخ	جفخ	4	سالم	صحيح
2192	جَفَرَ	ل	1	جفر	جفر	جفر	جفر	3	سالم	صحيح
2193	أَجْفَرَ	ل/م	102	أجفر	أجفر	ءجفر	جفر	4	مهموز	صحيح
2194	تَجَفَّرَ	ل	126	تجفر	تجفّر	تجفر	تجفر	5	مضعف	صحيح
2195	اِجْتَفَرَ	ل	114	اجتفر	اجتفر	اجتفر	جتفر	5	سالم	صحيح
2196	اِسْتَجْفَرَ	ل	129	استجفر	استجفر	استجفر	ستجفر	6	سالم	صحيح
2197	جَفِسَ	ل	4	جفس	جفس	جفس	جفس	3	سالم	صحيح
2198	جَفَشَ	م	2	جفش	جفش	جفش	جفش	3	سالم	صحيح
2199	جَفَظَ	م	1	جفظ	جفظ	جفظ	جفظ	3	سالم	صحيح
2200	جَفَّ	ل	9	جف	جفّ	جف	جف	3	مضعف	صحيح
2201	جَفَّ	م	8	جف	جفّ	جف	جف	3	مضعف	صحيح
2202	جَفَّفَ	م	112	جفف	جفّف	جفف	جف	4	مضعف	صحيح
2203	تَجَفَّفَ	ل	126	تجفف	تجفّف	تجفف	تجف	5	مضعف	صحيح
2204	اِجْتَفَّ	م	115	اجتف	اجتفّ	اجتف	جتف	5	مضعف	صحيح
2205	جَفَلَ	ل/م	2	جفل	جفل	جفل	جفل	3	سالم	صحيح
2206	جَفَّلَ	م	112	جفل	جفّل	جفل	جفل	4	مضعف	صحيح
2207	أَجْفَلَ	ل	102	أجفل	أجفل	ءجفل	جفل	4	مهموز	صحيح
2208	تَجَفَّلَ	ل	126	تجفل	تجفّل	تجفل	تجفل	5	مضعف	صحيح
2209	اِنْجَفَلَ	ل	119	انجفل	انجفل	انجفل	نجفل	5	سالم	صحيح
2210	جَفَنَ	م	1	جفن	جفن	جفن	جفن	3	سالم	صحيح
2211	جَفَّنَ	ل	112	جفن	جفّن	جفن	جفن	4	مضعف	صحيح
2212	تَجَفَّنَ	ل	126	تجفن	تجفّن	تجفن	تجفن	5	مضعف	صحيح
2213	جَفا	ل/م	17	جفا	جفا	جفا	جف	3		ناقص واوي
2214	جَفَى	م	21	جفى	جفى	جفى	جف	3		ناقص يائي
2215	جافَى	م	111	جافى	جافى	جافى	جف	4		ناقص
2216	أَجْفَى	ل/م	104	أجفى	أجفى	ءجفى	جف	4	مهموز	ناقص
2217	تَجافَى	ل	125	تجافى	تجافى	تجافى	تجف	5		ناقص
2218	اِجْتَفَى	م	116	اجتفى	اجتفى	اجتفى	جتف	5		ناقص
2219	اِسْتَجْفَى	م	131	استجفى	استجفى	استجفى	ستجف	6		ناقص
2220	جَلَبَ	ل/م	1	جلب	جلب	جلب	جلب	3	سالم	صحيح
2221	جَلِبَ	ل	4	جلب	جلب	جلب	جلب	3	سالم	صحيح
2222	جَلَّبَ	ل	112	جلب	جلّب	جلب	جلب	4	مضعف	صحيح
2223	أَجْلَبَ	ل/م	102	أجلب	أجلب	ءجلب	جلب	4	مهموز	صحيح
2224	تَجَلَّبَ	ل	126	تجلب	تجلّب	تجلب	تجلب	5	مضعف	صحيح
2225	اِنْجَلَبَ	ل	119	انجلب	انجلب	انجلب	نجلب	5	سالم	صحيح
2226	اِجْتَلَبَ	م	114	اجتلب	اجتلب	اجتلب	جتلب	5	سالم	صحيح
2227	اِسْتَجْلَبَ	م	129	استجلب	استجلب	استجلب	ستجلب	6	سالم	صحيح
2228	جَلَحَ	م	3	جلح	جلح	جلح	جلح	3	سالم	صحيح
2229	جَلِحَ	ل	4	جلح	جلح	جلح	جلح	3	سالم	صحيح
2230	جَلَّحَ	ل/م	112	جلح	جلّح	جلح	جلح	4	مضعف	صحيح
2231	جالَحَ	م	109	جالح	جالح	جالح	جلح	4	سالم	صحيح
2232	جَلَخَ	ل/م	3	جلخ	جلخ	جلخ	جلخ	3	سالم	صحيح
2233	جَلَّخَ	م	112	جلخ	جلّخ	جلخ	جلخ	4	مضعف	صحيح
2234	اِجْلَخَّ	ل	128	اجلخ	اجلخّ	اجلخ	جلخ	5	مضعف	صحيح
2235	جَلَدَ	م	2	جلد	جلد	جلد	جلد	3	سالم	صحيح
2236	جَلُدَ	ل	7	جلد	جلد	جلد	جلد	3	سالم	صحيح
2237	جَلِدَ	ل	4	جلد	جلد	جلد	جلد	3	سالم	صحيح
2238	جَلَّدَ	م	112	جلد	جلّد	جلد	جلد	4	مضعف	صحيح
2239	جالَدَ	م	109	جالد	جالد	جالد	جلد	4	سالم	صحيح
2240	أَجْلَدَ	م	102	أجلد	أجلد	ءجلد	جلد	4	مهموز	صحيح
2241	تَجَلَّدَ	ل	126	تجلد	تجلّد	تجلد	تجلد	5	مضعف	صحيح
2242	تَجالَدَ	ل	123	تجالد	تجالد	تجالد	تجلد	5	سالم	صحيح
2243	اِجْتَلَدَ	ل/م	114	اجتلد	اجتلد	اجتلد	جتلد	5	سالم	صحيح
2244	جَلَزَ	ل/م	2	جلز	جلز	جلز	جلز	3	سالم	صحيح
2245	جَلَّزَ	ل/م	112	جلز	جلّز	جلز	جلز	4	مضعف	صحيح
2246	جَلَسَ	ل	2	جلس	جلس	جلس	جلس	3	سالم	صحيح
2247	جالَسَ	م	109	جالس	جالس	جالس	جلس	4	سالم	صحيح
2248	أَجْلَسَ	م	102	أجلس	أجلس	ءجلس	جلس	4	مهموز	صحيح
2249	تَجالَسَ	ل	123	تجالس	تجالس	تجالس	تجلس	5	سالم	صحيح
2250	اِسْتَجْلَسَ	م	129	استجلس	استجلس	استجلس	ستجلس	6	سالم	صحيح
2251	جَلَطَ	ل/م	2	جلط	جلط	جلط	جلط	3	سالم	صحيح
2252	تَجَلَّطَ	ل	126	تجلط	تجلّط	تجلط	تجلط	5	مضعف	صحيح
2253	اِنْجَلَطَ	ل	119	انجلط	انجلط	انجلط	نجلط	5	سالم	صحيح
2254	اِجْتلَطَ	م	114	اجتلط	اجتلط	اجتلط	جتلط	5	سالم	صحيح
2255	جَلَعَ	ل/م	3	جلع	جلع	جلع	جلع	3	سالم	صحيح
2256	جَلِعَ	ل	4	جلع	جلع	جلع	جلع	3	سالم	صحيح
2257	جالعَ	ل/م	109	جالع	جالع	جالع	جلع	4	سالم	صحيح
2258	تَجالَعَ	ل	123	تجالع	تجالع	تجالع	تجلع	5	سالم	صحيح
2259	اِنْجَلَعَ	ل	119	انجلع	انجلع	انجلع	نجلع	5	سالم	صحيح
2260	جَلَفَ	م	1	جلف	جلف	جلف	جلف	3	سالم	صحيح
2261	جَلِفَ	ل	4	جلف	جلف	جلف	جلف	3	سالم	صحيح
2262	جَلَّفَ	م	112	جلف	جلّف	جلف	جلف	4	مضعف	صحيح
2263	أَجْلَفَ	ل	102	أجلف	أجلف	ءجلف	جلف	4	مهموز	صحيح
2264	تَجَلَّفَ	ل	126	تجلف	تجلّف	تجلف	تجلف	5	مضعف	صحيح
2265	اِجْتَلَفَ	م	114	اجتلف	اجتلف	اجتلف	جتلف	5	سالم	صحيح
2266	جَلَقَ	م	2	جلق	جلق	جلق	جلق	3	سالم	صحيح
2267	جَلَّقَ	م	112	جلق	جلّق	جلق	جلق	4	مضعف	صحيح
2268	تَجَلَّقَ	ل	126	تجلق	تجلّق	تجلق	تجلق	5	مضعف	صحيح
2269	جَلَّ	ل/م	8	جل	جلّ	جل	جل	3	مضعف	صحيح
2270	جَلَّلَ	ل/م	112	جلل	جلّل	جلل	جل	4	مضعف	صحيح
2271	أَجَلَّ	ل/م	103	أجل	أجلّ	ءجل	جل	4	مضعف مهموز	صحيح
2272	تَجَلَّلَ	ل/م	126	تجلل	تجلّل	تجلل	تجل	5	مضعف	صحيح
2273	تَجالَّ	ل/م	124	تجال	تجالّ	تجال	تجل	5	مضعف	صحيح
2274	اِجْتَلَّ	م	115	اجتل	اجتلّ	اجتل	جتل	5	مضعف	صحيح
2275	جَلَمَ	م	2	جلم	جلم	جلم	جلم	3	سالم	صحيح
2276	اِجْتَلَمَ	م	114	اجتلم	اجتلم	اجتلم	جتلم	5	سالم	صحيح
2277	جَلَهَ	م	3	جله	جله	جله	جله	3	سالم	صحيح
2278	جَلِهَ	ل	4	جله	جله	جله	جله	3	سالم	صحيح
2279	جَلا	ل/م	17	جلا	جلا	جلا	جل	3		ناقص واوي
2280	جَلَى	م	21	جلى	جلى	جلى	جل	3		ناقص يائي
2281	جَلِيَ	ل	32	جلي	جلي	جلي	جل	3	سالم	صحيح
2282	جَلَّى	ل/م	113	جلى	جلّى	جلى	جل	4	مضعف	ناقص
2283	جالَى	م	111	جالى	جالى	جالى	جل	4		ناقص
2284	أَجْلَى	ل/م	104	أجلى	أجلى	ءجلى	جل	4	مهموز	ناقص
2285	تَجَلَّى	ل/م	127	تجلى	تجلّى	تجلى	تجل	5	مضعف	ناقص
2286	تَجالَى	ل	125	تجالى	تجالى	تجالى	تجل	5		ناقص
2287	اِنْجَلَى	ل	121	انجلى	انجلى	انجلى	نجل	5		ناقص
2288	اِجْتَلَى	ل/م	116	اجتلى	اجتلى	اجتلى	جتل	5		ناقص
2289	اِجْلَوْلَى	ل	134	اجلولى	اجلولى	اجلولى	جلل	6		ناقص
2290	جَمِئَ	ل	15	جمئ	جمئ	جمء	جم	3	مهموز	صحيح
2291	تَجَمَّأَ	ل	126	تجمأ	تجمّأ	تجمء	تجم	5	مضعف مهموز	صحيح
2292	جَمَحَ	ل	3	جمح	جمح	جمح	جمح	3	سالم	صحيح
2293	جَمَخَ	ل/م	3	جمخ	جمخ	جمخ	جمخ	3	سالم	صحيح
2294	جامَخَ	م	109	جامخ	جامخ	جامخ	جمخ	4	سالم	صحيح
2295	اِنْجَمَخَ	ل	119	انجمخ	انجمخ	انجمخ	نجمخ	5	سالم	صحيح
2296	جَمَدَ	ل/م	1	جمد	جمد	جمد	جمد	3	سالم	صحيح
2297	جَمَّدَ	ل	112	جمد	جمّد	جمد	جمد	4	مضعف	صحيح
2298	أَجْمَدَ	ل/م	102	أجمد	أجمد	ءجمد	جمد	4	مهموز	صحيح
2299	جَمَرَ	ل/م	1	جمر	جمر	جمر	جمر	3	سالم	صحيح
2300	جَمَّرَ	ل/م	112	جمر	جمّر	جمر	جمر	4	مضعف	صحيح
