	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak
66	أَثَّ	ل	58	أث	أثّ	ءث	ث	3	مضعف مهموز	صحيح
67	أَثَّ	ل	60	أث	أثّ	ءث	ث	3	مضعف مهموز	صحيح
68	أَثَّثَ	م	112	أثث	أثّث	ءثث	ث	4	مضعف مهموز	صحيح
69	تَأَثَّثَ	ل	126	تأثث	تأثّث	تءثث	تث	5	مضعف مهموز	صحيح
70	أَثَرَ	م	53	أثر	أثر	ءثر	ثر	3	مهموز	صحيح
71	أَثِرَ	ل/م	56	أثر	أثر	ءثر	ثر	3	مهموز	صحيح
72	أَثَّرَ	ل	112	أثر	أثّر	ءثر	ثر	4	مضعف مهموز	صحيح
73	آثَرَ	م	106	آثر	آثر	ءاثر	ثر	4	مهموز	صحيح
74	تَأَثَّرَ	ل/م	126	تأثر	تأثّر	تءثر	تثر	5	مضعف مهموز	صحيح
75	اِئْتَثَرَ	م	114	ائتثر	ائتثر	اءتثر	تثر	5	مهموز	صحيح
76	اِسْتَأْثَرَ	ل/م	129	استأثر	استأثر	استءثر	ستثر	6	مهموز	صحيح
77	أَثَفَ	ل/م	54	أثف	أثف	ءثف	ثف	3	مهموز	صحيح
78	أَثَّفَ	م	112	أثف	أثّف	ءثف	ثف	4	مضعف مهموز	صحيح
79	آثَفَ	م	106	آثف	آثف	ءاثف	ثف	4	مهموز	صحيح
80	تَأَثَّفَ	ل/م	126	تأثف	تأثّف	تءثف	تثف	5	مضعف مهموز	صحيح
81	أَثَلَ	ل	54	أثل	أثل	ءثل	ثل	3	مهموز	صحيح
82	أَثُلَ	ل	57	أثل	أثل	ءثل	ثل	3	مهموز	صحيح
83	أَثَّلَ	ل/م	112	أثل	أثّل	ءثل	ثل	4	مضعف مهموز	صحيح
84	تَأَثَّلَ	ل	126	تأثل	تأثّل	تءثل	تثل	5	مضعف مهموز	صحيح
85	أَثِمَ	ل	56	أثم	أثم	ءثم	ثم	3	مهموز	صحيح
86	أَثَّمَ	م	112	أثم	أثّم	ءثم	ثم	4	مضعف مهموز	صحيح
87	آثَمَ	م	106	آثم	آثم	ءاثم	ثم	4	مهموز	صحيح
88	تَأَثَّمَ	ل	126	تأثم	تأثّم	تءثم	تثم	5	مضعف مهموز	صحيح
89	أَثا	ل	62	أثا	أثا	ءثا	ث	3	مهموز	ناقص واوي
90	آثَى	م	111	آثى	آثى	ءاثى	ث	4	مهموز	ناقص يائي
91	تَآثَى	ل	125	تآثى	تآثى	تءءثى	تث	5	مهموز	ناقص
92	أَجَّ	ل	58	أج	أجّ	ءج	ج	3	مضعف مهموز	صحيح
93	أَجَّجَ	م	112	أجج	أجّج	ءجج	ج	4	مضعف مهموز	صحيح
94	آجَجَ	م	106	آجج	آجج	ءاجج	ج	4	مهموز	صحيح
95	تَأَجَّجَ	ل	126	تأجج	تأجّج	تءجج	تج	5	مضعف مهموز	صحيح
96	اِئْتَجَّ	ل	114	ائتج	ائتجّ	اءتج	تج	5	مضعف مهموز	صحيح
97	أَجَدَ	م	53	أجد	أجد	ءجد	جد	3	مهموز	صحيح
98	أَجَّدَ	م	112	أجد	أجّد	ءجد	جد	4	مضعف مهموز	صحيح
99	آجَدَ	م	106	آجد	آجد	ءاجد	جد	4	مهموز	صحيح
100	أَجَرَ	ل/م	53	أجر	أجر	ءجر	جر	3	مهموز	صحيح
101	آجَرَ	م	106	آجر	آجر	ءاجر	جر	4	مهموز	صحيح
102	آجَرَ	م	109	آجر	آجر	ءاجر	جر	4	مهموز	صحيح
103	اِئْتَجَرَ	ل	114	ائتجر	ائتجر	اءتجر	تجر	5	مهموز	صحيح
104	اِسْتَأْجَرَ	م	129	استأجر	استأجر	استءجر	ستجر	6	مهموز	صحيح
105	اِسْتَأْجَزَ	ل	129	استأجز	استأجز	استءجز	ستجز	6	مهموز	صحيح
106	أَجَلَ	م	53	أجل	أجل	ءجل	جل	3	مهموز	صحيح
107	أَجِلَ	ل	56	أجل	أجل	ءجل	جل	3	مهموز	صحيح
108	أَجَّلَ	م	112	أجل	أجّل	ءجل	جل	4	مضعف مهموز	صحيح
109	آجَلَ	م	106	آجل	آجل	ءاجل	جل	4	مهموز	صحيح
110	تَأَجَّلَ	ل/م	126	تأجل	تأجّل	تءجل	تجل	5	مضعف مهموز	صحيح
111	اِسْتَأْجَلَ	م	129	استأجل	استأجل	استءجل	ستجل	6	مهموز	صحيح
112	أَجَمَ	ل/م	54	أجم	أجم	ءجم	جم	3	مهموز	صحيح
113	أَجِمَ	م	56	أجم	أجم	ءجم	جم	3	مهموز	صحيح
114	أَجَّمَ	م	112	أجم	أجّم	ءجم	جم	4	مضعف مهموز	صحيح
115	آجَمَ	م	106	آجم	آجم	ءاجم	جم	4	مهموز	صحيح
116	تَأَجَّمَ	ل	126	تأجم	تأجّم	تءجم	تجم	5	مضعف مهموز	صحيح
117	أَجَنَ	ل/م	53	أجن	أجن	ءجن	جن	3	مهموز	صحيح
118	أَجُنَ	ل	57	أجن	أجن	ءجن	جن	3	مهموز	صحيح
119	أَجِنَ	ل	56	أجن	أجن	ءجن	جن	3	مهموز	صحيح
120	أحَّ	ل	58	أح	أحّ	ءح	ح	3	مضعف مهموز	صحيح
121	أَحَّى	ل	113	أحى	أحّى	ءحى	ح	4	مضعف مهموز	ناقص
122	أَحَّدَ	م	112	أحد	أحّد	ءحد	حد	4	مضعف مهموز	صحيح
123	اِسْتَأْحَدَ	ل	129	استأحد	استأحد	استءحد	ستحد	6	مهموز	صحيح
124	أَحِنَ	ل	56	أحن	أحن	ءحن	حن	3	مهموز	صحيح
125	آحَنَ	م	109	آحن	آحن	ءاحن	حن	4	مهموز	صحيح
126	أَخَذَ	م/ل	53	أخذ	أخذ	ءخذ	خذ	3	مهموز	صحيح
127	أَخُذَ	ل	57	أخذ	أخذ	ءخذ	خذ	3	مهموز	صحيح
128	تَخِذَ	ل	56	تخذ	تخذ	تخذ	تخذ	3	سالم	صحيح
129	أَخَّذَ	م	112	أخذ	أخّذ	ءخذ	خذ	4	مضعف مهموز	صحيح
130	آخَذَ	م	106	آخذ	آخذ	ءاخذ	خذ	4	مهموز	صحيح
131	آخَذَ	م	109	آخذ	آخذ	ءاخذ	خذ	4	مهموز	صحيح
132	اِئْتَخَذَ	ل	114	ائتخذ	ائتخذ	اءتخذ	تخذ	5	مهموز	صحيح
133	اِتَّخَذَ	م	118	اتخذ	اتّخذ	اتخذ	تخذ	5	مضعف	صحيح
134	اِسْتَأْخَذَ	ل	129	استأخذ	استأخذ	استءخذ	ستخذ	6	مهموز	صحيح
135	أَخَّرَ	ل/م	112	أخر	أخّر	ءخر	خر	4	مضعف مهموز	صحيح
136	تَأَخَّرَ	ل	126	تأخر	تأخّر	تءخر	تخر	5	مضعف مهموز	صحيح
137	اِسْتَأْخَرَ	ل	129	استأخر	استأخر	استءخر	ستخر	6	مهموز	صحيح
138	أَخا	م	62	أخا	أخا	ءخا	خ	3	مهموز	ناقص واوي
139	أَخَّى	م/ل	113	أخى	أخّى	ءخى	خ	4	مضعف مهموز	ناقص
140	آخَى	م/ل	111	آخى	آخى	ءاخى	خ	4	مهموز	ناقص يائي
141	تَأَخَّى	م	127	تأخى	تأخّى	تءخى	تخ	5	مضعف مهموز	ناقص
142	تَآخَى	ل	125	تآخى	تآخى	تءءخى	تخ	5	مهموز	ناقص
143	أَدَبَ	ل/م	54	أدب	أدب	ءدب	دب	3	مهموز	صحيح
144	أَدُبَ	ل	57	أدب	أدب	ءدب	دب	3	مهموز	صحيح
145	أَدَّبَ	م	112	أدب	أدّب	ءدب	دب	4	مضعف مهموز	صحيح
146	آدَبَ	ل/م	106	آدب	آدب	ءادب	دب	4	مهموز	صحيح
147	تَأَدَّبَ	ل	126	تأدب	تأدّب	تءدب	تدب	5	مضعف مهموز	صحيح
148	أَدَّ	ل/م	58	أد	أدّ	ءد	د	3	مضعف مهموز	صحيح
149	تَأَدَّدَ	ل	126	تأدد	تأدّد	تءدد	تد	5	مضعف مهموز	صحيح
150	أَدِرَ	ل	56	أدر	أدر	ءدر	در	3	مهموز	صحيح
151	أَدَلَ	ل	54	أدل	أدل	ءدل	دل	3	مهموز	صحيح
152	أَدَمَ	ل/م	54	أدم	أدم	ءدم	دم	3	مهموز	صحيح
153	أَدُمَ	ل	57	أدم	أدم	ءدم	دم	3	مهموز	صحيح
154	أَدِمَ	ل	56	أدم	أدم	ءدم	دم	3	مهموز	صحيح
155	أَدَّمَ	م	112	أدم	أدّم	ءدم	دم	4	مضعف مهموز	صحيح
156	آدَمَ	ل/م	106	آدم	آدم	ءادم	دم	4	مهموز	صحيح
157	اِئْتَدَمَ	ل	114	ائتدم	ائتدم	اءتدم	تدم	5	مهموز	صحيح
158	اِسْتَأْدَمَ	م	129	استأدم	استأدم	استءدم	ستدم	6	مهموز	صحيح
159	أَدا	ل/م	62	أدا	أدا	ءدا	د	3	مهموز	ناقص واوي
160	أَدَى	ل	65	أدى	أدى	ءدى	د	3	مهموز	ناقص يائي
161	أَدَّى	م	113	أدى	أدّى	ءدى	د	4	مضعف مهموز	ناقص
162	آدَى	ل/م	106	آدى	آدى	ءادى	د	4	مهموز	ناقص يائي
163	تَأَدَّى	ل	127	تأدى	تأدّى	تءدى	تد	5	مضعف مهموز	ناقص
164	تَآدَى	ل	125	تآدى	تآدى	تءءدى	تد	5	مهموز	ناقص
165	اِسْتَأْدَى	م	131	استأدى	استأدى	استءدى	ستد	6	مهموز	ناقص
166	أَذَنَ	ل/م	53	أذن	أذن	ءذن	ذن	3	مهموز	صحيح
167	أَذِنَ	ل	56	أذن	أذن	ءذن	ذن	3	مهموز	صحيح
168	أَذَّنَ	ل/م	112	أذن	أذّن	ءذن	ذن	4	مضعف مهموز	صحيح
169	آذَنَ	ل/م	106	آذن	آذن	ءاذن	ذن	4	مهموز	صحيح
170	تَأَذَّنَ	ل	126	تأذن	تأذّن	تءذن	تذن	5	مضعف مهموز	صحيح
171	اِسْتَأْذَنَ	م/ل	129	استأذن	استأذن	استءذن	ستذن	6	مهموز	صحيح
172	أَذِيَ	ل	67	أذي	أذي	ءذي	ذ	3	مهموز	صحيح
173	آذَى	م	106	آذى	آذى	ءاذى	ذ	4	مهموز	ناقص يائي
174	تَأَذَّى	ل	127	تأذى	تأذّى	تءذى	تذ	5	مضعف مهموز	ناقص
175	أَرَبَ	م	54	أرب	أرب	ءرب	رب	3	مهموز	صحيح
176	أَرُبَ	ل	57	أرب	أرب	ءرب	رب	3	مهموز	صحيح
177	أَرِبَ	ل	56	أرب	أرب	ءرب	رب	3	مهموز	صحيح
178	أَرَّبَ	ل/م	112	أرب	أرّب	ءرب	رب	4	مضعف مهموز	صحيح
179	آرَبَ	ل	106	آرب	آرب	ءارب	رب	4	مهموز	صحيح
180	آرَبَ	م	109	آرب	آرب	ءارب	رب	4	مهموز	صحيح
181	تَأَرَّبَ	ل	126	تأرب	تأرّب	تءرب	ترب	5	مضعف مهموز	صحيح
182	اِسْتَأْرَبَ	ل	129	استأرب	استأرب	استءرب	سترب	6	مهموز	صحيح
183	أَرَّثَ	م/ل	112	أرث	أرّث	ءرث	رث	4	مضعف مهموز	صحيح
184	تَأَرَّثَ	ل	126	تأرث	تأرّث	تءرث	ترث	5	مضعف مهموز	صحيح
185	أَرَجَ	ل/م	54	أرج	أرج	ءرج	رج	3	مهموز	صحيح
186	أَرِجَ	ل	56	أرج	أرج	ءرج	رج	3	مهموز	صحيح
187	أَرَّجَ	م/ل	112	أرج	أرّج	ءرج	رج	4	مضعف مهموز	صحيح
188	تَأَرَّجَ	ل	126	تأرج	تأرّج	تءرج	ترج	5	مضعف مهموز	صحيح
189	أَرَخَ	ل	55	أرخ	أرخ	ءرخ	رخ	3	مهموز	صحيح
190	أَرَخَ	م	53	أرخ	أرخ	ءرخ	رخ	3	مهموز	صحيح
191	أَرَّخَ	م	112	أرخ	أرّخ	ءرخ	رخ	4	مضعف مهموز	صحيح
192	أرَّ	ل	59	أر	أرّ	ءر	ر	3	مضعف مهموز	صحيح
193	أرَّ	ل/م	58	أر	أرّ	ءر	ر	3	مضعف مهموز	صحيح
194	أَرَزَ	ل	54	أرز	أرز	ءرز	رز	3	مهموز	صحيح
195	أَرَسَ	ل	54	أرس	أرس	ءرس	رس	3	مهموز	صحيح
196	أَرَّسَ	ل/م	112	أرس	أرّس	ءرس	رس	4	مضعف مهموز	صحيح
197	آرَسَ	ل	106	آرس	آرس	ءارس	رس	4	مهموز	صحيح
198	أَرَشَ	ل/م	53	أرش	أرش	ءرش	رش	3	مهموز	صحيح
199	أَرَّشَ	ل/م	112	أرش	أرّش	ءرش	رش	4	مضعف مهموز	صحيح
200	اِئْتَرَشَ	م	114	ائترش	ائترش	اءترش	ترش	5	مهموز	صحيح
201	أَرَضَ	م	53	أرض	أرض	ءرض	رض	3	مهموز	صحيح
202	أَرُضَ	ل	57	أرض	أرض	ءرض	رض	3	مهموز	صحيح
203	أَرِضَ	ل	56	أرض	أرض	ءرض	رض	3	مهموز	صحيح
204	أَرَّضَ	م	112	أرض	أرّض	ءرض	رض	4	مضعف مهموز	صحيح
205	تَأَرَّضَ	ل/م	126	تأرض	تأرّض	تءرض	ترض	5	مضعف مهموز	صحيح
206	اِسْتَأْرَضَ	ل	129	استأرض	استأرض	استءرض	سترض	6	مهموز	صحيح
207	أَرَطَ	ل/م	53	أرط	أرط	ءرط	رط	3	مهموز	صحيح
208	أَرِطَ	ل	56	أرط	أرط	ءرط	رط	3	مهموز	صحيح
209	آرَطَ	ل	106	آرط	آرط	ءارط	رط	4	مهموز	صحيح
210	أَرَّفَ	م	112	أرف	أرّف	ءرف	رف	4	مضعف مهموز	صحيح
211	آرَفَ	م	109	آرف	آرف	ءارف	رف	4	مهموز	صحيح
212	أَرِقَ	ل	56	أرق	أرق	ءرق	رق	3	مهموز	صحيح
213	أَرَّقَ	م	112	أرق	أرّق	ءرق	رق	4	مضعف مهموز	صحيح
214	آرَقَ	م	106	آرق	آرق	ءارق	رق	4	مهموز	صحيح
215	تَأَرَّقَ	ل	126	تأرق	تأرّق	تءرق	ترق	5	مضعف مهموز	صحيح
216	اِئْتَرَقَ	ل	114	ائترق	ائترق	اءترق	ترق	5	مهموز	صحيح
217	أَرَكَ	ل/م	53	أرك	أرك	ءرك	رك	3	مهموز	صحيح
218	أَرِكَ	ل	56	أرك	أرك	ءرك	رك	3	مهموز	صحيح
219	أَرَمَ	ل/م	54	أرم	أرم	ءرم	رم	3	مهموز	صحيح
220	أَرِمَ	ل	56	أرم	أرم	ءرم	رم	3	مهموز	صحيح
221	أَرَنَ	م	53	أرن	أرن	ءرن	رن	3	مهموز	صحيح
222	أَرِنَ	ل	56	أرن	أرن	ءرن	رن	3	مهموز	صحيح
223	آرَنَ	م	109	آرن	آرن	ءارن	رن	4	مهموز	صحيح
224	أرا	م	62	أرا	أرا	ءرا	ر	3	مهموز	ناقص واوي
225	أَرَى	ل/م	65	أرى	أرى	ءرى	ر	3	مهموز	ناقص يائي
226	أَرِيَ	ل	67	أري	أري	ءري	ر	3	مهموز	صحيح
227	أَرَّى	م/ل	113	أرى	أرّى	ءرى	ر	4	مضعف مهموز	ناقص
228	آرَى	م	106	آرى	آرى	ءارى	ر	4	مهموز	ناقص يائي
229	تَأَرَّى	ل/م	127	تأرى	تأرّى	تءرى	تر	5	مضعف مهموز	ناقص
230	اِئْتَرَى	ل	116	ائترى	ائترى	اءترى	تر	5	مهموز	ناقص
231	أَزَبَ	ل	54	أزب	أزب	ءزب	زب	3	مهموز	صحيح
232	أَزِبَ	ل	56	أزب	أزب	ءزب	زب	3	مهموز	صحيح
233	تَأَزَّبَ	م	126	تأزب	تأزّب	تءزب	تزب	5	مضعف مهموز	صحيح
234	أَزَجَ	ل	54	أزج	أزج	ءزج	زج	3	مهموز	صحيح
235	أَزِجَ	ل	56	أزج	أزج	ءزج	زج	3	مهموز	صحيح
236	أَزَّجَ	م	112	أزج	أزّج	ءزج	زج	4	مضعف مهموز	صحيح
237	أَزَحَ	ل	54	أزح	أزح	ءزح	زح	3	مهموز	صحيح
